TimeIndex,SampleRTT,EstimatedRTT,TimeoutInterval
0,6,875.75,3245
1,0,766.28,3309
2,0,670.50,3248
3,1,586.81,3106
4,1,513.58,2915
5,1,449.51,2699
6,1,393.45,2473
7,0,344.27,2248
8,0,301.23,2030
9,1,263.70,1823
10,1,230.87,1630
11,1,202.13,1453
12,0,176.87,1291
13,1,154.88,1145
14,1,135.65,1012
